group,file,variant,prompt,t,layer,map,view,renorm,Z,raw_min,raw_max,win_row,win_col,win_score,win_on_border,noun_tokens,verb_tokens
group_stove,group_stove/t000_L15_verb_stove_orig_base.png,stove_orig,turn on the stove,0,15,verb,base,img512,6,8.151008971696737e-09,0.07698597318027615,13,1,0.08699765428772153,1,▁stove,turn
group_stove,group_stove/t000_L15_func_stove_orig_base.png,stove_orig,turn on the stove,0,15,func,base,img512,6,3.056360516999762e-09,0.0986541092465971,13,1,0.13459629428758005,1,▁stove,turn
group_stove,group_stove/t000_L16_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,16,allmax,base,img512,6,5.157565700979638e-08,0.1023576406194329,14,2,0.14908698655527353,1,▁stove,turn
group_stove,group_stove/t000_L16_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,16,allsum,base,img512,6,1.2060162569912916e-07,0.1265705955429853,3,6,0.22750948855558928,0,▁stove,turn
group_stove,group_stove/t000_L16_noun_stove_orig_base.png,stove_orig,turn on the stove,0,16,noun,base,img512,6,2.1613686125346195e-10,0.022986161564660157,2,1,0.02598676223531193,1,▁stove,turn
group_stove,group_stove/t000_L16_verb_stove_orig_base.png,stove_orig,turn on the stove,0,16,verb,base,img512,6,4.589647794698052e-09,0.04670961852855868,14,2,0.05937739367012178,1,▁stove,turn
group_stove,group_stove/t000_L16_func_stove_orig_base.png,stove_orig,turn on the stove,0,16,func,base,img512,6,1.074010097532571e-07,0.11334435971167334,3,6,0.17696081935347566,0,▁stove,turn
group_stove,group_stove/t000_L17_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,17,allmax,base,img512,6,2.901227996695536e-05,0.07979287022620897,3,6,0.11755382138398024,0,▁stove,turn
group_stove,group_stove/t000_L17_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,17,allsum,base,img512,6,2.9012280038957087e-05,0.21963824052053277,3,6,0.2468214614371989,0,▁stove,turn
group_stove,group_stove/t000_L17_noun_stove_orig_base.png,stove_orig,turn on the stove,0,17,noun,base,img512,6,1.3915111364862314e-18,0.009200250766464954,14,14,0.009200250766478337,1,▁stove,turn
group_stove,group_stove/t000_L17_verb_stove_orig_base.png,stove_orig,turn on the stove,0,17,verb,base,img512,6,3.955530261196375e-23,0.07979287022620897,3,6,0.11374664234359809,0,▁stove,turn
group_stove,group_stove/t000_L17_func_stove_orig_base.png,stove_orig,turn on the stove,0,17,func,base,img512,6,2.9012280038068522e-05,0.13064511952785884,14,14,0.13730462990619263,1,▁stove,turn
group_stove,group_stove/t000_Lrollout_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,rollout,allmax,base,img512,6,7.230618198196828e-05,0.029928242642309682,7,9,0.06485798611870969,0,▁stove,turn
group_stove,group_stove/t000_Lrollout_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,rollout,allsum,base,img512,6,0.00043244842969328496,0.17939692354150769,7,9,0.38847469233538545,0,▁stove,turn
group_stove,group_stove/t000_Lrollout_noun_stove_orig_base.png,stove_orig,turn on the stove,0,rollout,noun,base,img512,6,7.202813176649443e-05,0.02992485997330897,7,9,0.0646997878850851,0,▁stove,turn
group_stove,group_stove/t000_Lrollout_verb_stove_orig_base.png,stove_orig,turn on the stove,0,rollout,verb,base,img512,6,7.202484854216665e-05,0.0298796168894324,7,9,0.06484898948577829,0,▁stove,turn
group_stove,group_stove/t000_Lrollout_func_stove_orig_base.png,stove_orig,turn on the stove,0,rollout,func,base,img512,6,0.00028839544938462385,0.11959244667876633,7,9,0.25892591496452205,0,▁stove,turn
group_stove,group_stove/t000_L00_allmax_stove_L1_switch_base.png,stove_L1_switch,switch on the stove,0,00,allmax,base,img512,6,8.680967687996731e-05,0.7609777328636687,13,2,0.7814124936573938,0,▁stove,switch
group_stove,group_stove/t000_L00_allsum_stove_L1_switch_base.png,stove_L1_switch,switch on the stove,0,00,allsum,base,img512,6,0.0001708643960893538,1.9126835877802373,13,1,1.943857172267899,1,▁stove,switch
group_stove,group_stove/t000_L00_noun_stove_L1_switch_base.png,stove_L1_switch,switch on the stove,0,00,noun,base,img512,6,1.0811866845613792e-06,0.5060771430835058,13,1,0.5085597063070771,1,▁stove,switch
group_stove,group_stove/t000_L00_verb_stove_L1_switch_base.png,stove_L1_switch,switch on the stove,0,00,verb,base,img512,6,8.158958847074535e-07,0.7609777328636687,13,2,0.76434132450184,0,▁stove,switch
group_stove,group_stove/t000_L00_func_stove_L1_switch_base.png,stove_L1_switch,switch on the stove,0,00,func,base,img512,6,0.00010777556185640819,0.6456287118330628,13,2,0.6709797371526147,0,▁stove,switch
group_stove,group_stove/t000_L01_allmax_stove_L1_switch_base.png,stove_L1_switch,switch on the stove,0,01,allmax,base,img512,6,3.9795650869928437e-05,0.05744623242878051,2,6,0.14357860429313155,0,▁stove,switch
group_stove,group_stove/t000_L01_allsum_stove_L1_switch_base.png,stove_L1_switch,switch on the stove,0,01,allsum,base,img512,6,0.00011986899081953578,0.12804764199226643,2,6,0.35685395608077913,0,▁stove,switch
